Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Jalen Smith,23,IND,C,7,0,6.0,0.4,1.1,.375,0.3,0.6,.500,0.1,0.6,.250,.500,0.7,1.1,.625,1.0,1.0,2.0,0.3,0.3,0.1,0.6,1.1,1.9,
Jose Alvarado,25,NOP,PG,4,0,15.5,0.8,5.0,.150,0.3,3.5,.071,0.5,1.5,.333,.175,0.0,0.0,,0.0,1.0,1.0,2.3,1.3,0.3,1.0,0.8,1.8,
Nassir Little,23,PHO,SF,4,0,3.5,0.8,1.3,.600,0.3,0.8,.333,0.5,0.5,1.000,.700,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.5,1.8,
Kevin Love,35,MIA,PF,5,0,6.4,0.8,1.8,.444,0.2,0.8,.250,0.6,1.0,.600,.500,0.0,0.0,,0.2,2.6,2.8,0.8,0.0,0.0,0.4,0.4,1.8,
Peyton Watson,21,DEN,SF,10,0,9.0,0.6,2.4,.250,0.3,1.2,.250,0.3,1.2,.250,.313,0.3,0.6,.500,0.2,1.3,1.5,0.4,0.0,0.6,0.3,0.9,1.8,
Brandon Boston Jr.,22,LAC,SF,3,0,3.3,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,0.3,0.7,.500,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.7,1.7,
Zeke Nnaji,23,DEN,PF,3,0,4.7,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.3,0.7,.500,0.7,0.0,0.7,0.0,0.0,0.3,0.7,0.3,1.7,
Oshae Brissett,25,BOS,SF,10,0,5.5,0.6,1.1,.545,0.2,0.2,1.000,0.4,0.9,.444,.636,0.2,0.4,.500,0.3,1.1,1.4,0.0,0.3,0.2,0.1,0.2,1.6,
Joe Ingles,36,ORL,SF,7,0,9.7,0.6,1.7,.333,0.3,1.0,.286,0.3,0.7,.400,.417,0.1,0.3,.500,0.3,1.6,1.9,1.7,0.4,0.0,0.0,0.4,1.6,
Paul Reed,24,PHI,C,6,0,7.2,0.7,1.5,.444,0.0,0.0,,0.7,1.5,.444,.444,0.2,0.3,.500,1.5,1.2,2.7,0.3,0.2,0.5,0.5,1.2,1.5,
Tristan Thompson,32,CLE,C,10,0,8.7,0.7,1.6,.438,0.0,0.0,,0.7,1.6,.438,.438,0.1,0.2,.500,1.0,1.0,2.0,1.0,0.1,0.5,0.2,0.9,1.5,
Xavier Tillman Sr.,25,BOS,PF,8,0,8.6,0.6,1.0,.625,0.1,0.1,1.000,0.5,0.9,.571,.688,0.1,0.1,1.000,0.5,1.3,1.8,0.4,0.4,0.4,0.4,0.9,1.5,
Jericho Sims,25,NYK,C,5,0,5.4,0.4,0.4,1.000,0.0,0.0,,0.4,0.4,1.000,1.000,0.6,0.8,.750,0.6,1.0,1.6,0.2,0.4,0.2,0.0,0.2,1.4,
Gabe Vincent,27,LAL,PG,5,0,13.8,0.6,2.4,.250,0.2,1.4,.143,0.4,1.0,.400,.292,0.0,0.0,,0.2,1.4,1.6,0.6,0.4,0.0,0.6,1.6,1.4,
Dyson Daniels,20,NOP,PG,3,0,5.7,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.0,,0.0,0.7,0.7,0.0,0.7,0.0,0.3,0.0,1.3,
Doug McDermott,32,IND,SF,10,0,6.4,0.5,1.1,.455,0.3,0.8,.375,0.2,0.3,.667,.591,0.0,0.0,,0.2,0.1,0.3,0.7,0.0,0.2,0.1,0.5,1.3,
Shake Milton,27,NYK,SG,4,0,5.5,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,1.3,1.5,.833,0.0,0.3,0.3,0.5,0.3,0.0,0.0,0.0,1.3,
Jalen Pickett,24,DEN,SG,3,0,3.7,0.7,1.0,.667,0.0,0.3,.000,0.7,0.7,1.000,.667,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.3,0.0,0.3,1.3,
Neemias Queta,24,BOS,C,3,0,4.3,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.0,0.0,,0.3,0.7,1.0,0.0,0.0,0.3,0.0,0.0,1.3,
Josh Minott,21,MIN,SF,5,0,3.6,0.4,1.8,.222,0.4,1.0,.400,0.0,0.8,.000,.333,0.0,0.0,,0.2,0.8,1.0,0.6,0.0,0.0,0.0,0.4,1.2,
Wendell Moore Jr.,22,MIN,SG,6,0,3.0,0.5,1.2,.429,0.2,0.7,.250,0.3,0.5,.667,.500,0.0,0.0,,0.0,0.3,0.3,0.3,0.2,0.0,0.2,0.5,1.2,
A.J. Lawson,23,DAL,SG,10,0,3.0,0.4,0.9,.444,0.2,0.6,.333,0.2,0.3,.667,.556,0.1,0.2,.500,0.1,0.2,0.3,0.0,0.0,0.1,0.0,0.1,1.1,
Caleb Houstan,21,ORL,SF,3,0,4.7,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,.750,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,1.0,
James Johnson,36,IND,PF,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
Chris Livingston,20,MIL,SF,2,0,3.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,1.5,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
Svi Mykhailiuk,26,BOS,SF,8,0,4.0,0.4,1.5,.250,0.3,1.1,.222,0.1,0.4,.333,.333,0.0,0.0,,0.1,0.5,0.6,0.1,0.1,0.0,0.3,0.4,1.0,
Jaden Springer,21,BOS,PG,4,0,5.5,0.5,0.8,.667,0.0,0.0,,0.5,0.8,.667,.667,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.3,0.5,0.3,1.0,
Jarace Walker,20,IND,PF,9,0,3.4,0.3,1.1,.300,0.0,0.3,.000,0.3,0.8,.429,.300,0.2,0.3,.667,0.1,0.3,0.4,0.4,0.2,0.1,0.7,0.2,0.9,
MarJon Beauchamp,23,MIL,SF,4,0,2.5,0.3,1.0,.250,0.0,0.5,.000,0.3,0.5,.500,.250,0.3,0.5,.500,0.0,0.3,0.3,0.5,0.0,0.0,0.3,0.3,0.8,
Bol Bol,24,PHO,PF,3,0,4.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.0,1.3,1.3,0.0,0.3,0.0,0.0,0.7,0.7,
Jordan McLaughlin,27,MIN,PG,6,0,5.0,0.3,1.5,.222,0.0,0.8,.000,0.3,0.7,.500,.222,0.0,0.3,.000,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.2,0.7,
Jordan Walsh,19,BOS,SF,3,0,3.7,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,
Kendall Brown,20,IND,SG,7,0,3.6,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.1,0.4,0.3,0.6,
Kenrich Williams,29,OKC,PF,7,0,4.6,0.3,1.1,.250,0.0,0.7,.000,0.3,0.4,.667,.250,0.0,0.0,,0.1,1.0,1.1,0.4,0.1,0.0,0.0,0.4,0.6,
Mamadi Diakite,27,NYK,PF,4,0,3.8,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.5,0.5,1.000,0.0,0.8,0.8,0.3,0.3,0.3,0.3,0.8,0.5,
Ousmane Dieng,20,OKC,PF,4,0,1.8,0.3,0.5,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,
Dwight Powell,32,DAL,C,13,0,3.4,0.1,0.2,.333,0.0,0.0,,0.1,0.2,.333,.333,0.3,0.5,.667,0.2,0.7,0.9,0.2,0.1,0.0,0.2,0.7,0.5,
Jaxson Hayes,23,LAL,C,4,0,6.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.3,0.5,.500,0.8,2.3,3.0,0.3,0.0,0.0,0.5,1.8,0.3,
Hunter Tyson,23,DEN,PF,3,0,4.7,0.0,1.3,.000,0.0,1.0,.000,0.0,0.3,.000,.000,0.3,0.7,.500,0.3,0.7,1.0,0.3,0.0,0.0,0.3,0.0,0.3,
Thanasis Antetokounmpo,31,MIL,PF,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,
Goga Bitadze,24,ORL,C,2,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.5,1.0,1.5,1.0,0.0,0.0,0.5,0.0,0.0,
Kobe Brown,24,LAC,PF,3,0,3.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.3,0.0,
Jordan Hawkins,21,NOP,SG,3,0,4.0,0.0,1.3,.000,0.0,1.0,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.3,0.0,
Gordon Hayward,33,OKC,SF,7,0,6.6,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,.000,0.0,0.0,,0.1,1.7,1.9,0.4,0.1,0.1,0.0,0.3,0.0,
Damian Jones,28,CLE,C,2,0,4.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.5,1.0,0.0,0.0,
E.J. Liddell,23,NOP,PF,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
De'Anthony Melton,25,PHI,SG,1,0,7.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
Leonard Miller,20,MIN,SF,3,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.3,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,
Olivier-Maxence Prosper,21,DAL,PF,3,0,3.0,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,
Orlando Robinson,23,MIA,C,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
David Roddy,22,PHO,PF,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Matt Ryan,26,NOP,SF,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
Isaiah Thomas,34,PHO,PG,1,0,4.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
T.J. Warren,30,MIN,SF,3,0,3.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.7,0.3,1.0,0.3,0.0,0.0,0.0,0.0,0.0,
Lindy Waters III,26,OKC,SG,3,0,3.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,
Thaddeus Young,35,PHO,PF,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
League Average,,,,,,,,,.462,,,.351,,,.535,.532,,,.779,,,,,,,,,,
