Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Eric Gordon,35,PHO,SG,4,0,29.5,2.3,7.0,.321,1.8,4.3,.412,0.5,2.8,.182,.446,1.8,2.0,.875,0.3,1.5,1.8,1.3,1.3,0.5,1.0,1.3,8.0,
Delon Wright,31,MIA,PG,4,1,26.8,3.0,5.0,.600,1.5,2.5,.600,1.5,2.5,.600,.750,0.5,0.5,1.000,0.5,2.5,3.0,1.8,1.0,0.3,0.0,1.3,8.0,
Dereck Lively II,19,DAL,C,21,0,22.0,3.0,4.5,.674,0.0,0.0,1.000,3.0,4.5,.670,.679,1.7,2.9,.590,2.7,4.7,7.4,1.3,0.4,1.0,1.0,2.3,7.9,
Rui Hachimura,25,LAL,PF,5,5,30.4,3.0,7.6,.395,1.0,2.8,.357,2.0,4.8,.417,.461,0.8,1.6,.500,1.2,2.6,3.8,0.8,0.0,0.0,0.4,1.6,7.8,
Jusuf Nurkić,29,PHO,C,4,4,26.0,3.3,6.5,.500,0.0,0.5,.000,3.3,6.0,.542,.500,1.3,2.8,.455,3.3,5.0,8.3,2.8,1.5,1.5,1.5,3.8,7.8,
Wendell Carter Jr.,24,ORL,C,7,5,26.4,2.7,6.7,.404,1.0,3.6,.280,1.7,3.1,.545,.479,1.1,1.6,.727,1.3,5.0,6.3,1.3,0.7,0.6,0.7,2.9,7.6,
Taurean Prince,29,LAL,PF,5,0,22.2,2.4,5.8,.414,1.0,3.4,.294,1.4,2.4,.583,.500,1.6,1.6,1.000,0.2,2.2,2.4,0.6,0.2,0.4,0.2,1.8,7.4,
Nickeil Alexander-Walker,25,MIN,SG,16,1,23.6,2.6,7.0,.366,1.5,5.1,.296,1.1,1.9,.548,.473,0.6,0.6,1.000,0.3,1.4,1.8,2.3,0.6,0.4,0.9,1.5,7.3,
Kyle Lowry,37,PHI,PG,6,6,29.2,1.8,5.3,.344,1.3,4.0,.333,0.5,1.3,.375,.469,2.0,2.5,.800,1.0,2.5,3.5,4.0,1.0,0.7,0.7,3.8,7.0,
Markelle Fultz,25,ORL,PG,7,0,15.1,2.9,4.9,.588,0.0,0.1,.000,2.9,4.7,.606,.588,0.7,1.3,.556,1.0,1.0,2.0,1.1,0.4,0.0,1.1,1.7,6.4,
Isaiah Joe,24,OKC,SG,10,2,17.3,2.4,5.4,.444,1.6,3.9,.410,0.8,1.5,.533,.593,0.0,0.0,,0.4,1.8,2.2,1.0,0.5,0.0,0.5,1.0,6.4,
Payton Pritchard,26,BOS,PG,19,0,18.7,2.3,5.5,.419,1.2,3.2,.383,1.1,2.4,.467,.529,0.6,0.6,.917,0.7,1.2,1.9,2.1,0.2,0.0,0.7,1.2,6.4,
Nicolas Batum,35,PHI,PF,6,0,28.3,2.0,4.8,.414,1.5,3.7,.409,0.5,1.2,.429,.569,0.8,1.3,.625,1.5,4.3,5.8,1.3,0.2,0.8,0.8,2.2,6.3,
